Calliper Model,LAVA ID,MK,SR,TW/2
Impreza STI / Civic FK8 P,101,600,700,800
Lancer EVO/Megane RS P,101,600,700,800
Przód RS3 RS5 P,103,700,900,1000
Porsche Banan 18mm P,105,700,800,1000
Brembo Nissan GTR P,106,800,900,1000
Land Rover Sport P,107,700,800,950
MUSTANG P,125,700,800,1000
Audi S3 VW 7R P,116,700,800,900
Clio RS,108,550,600,700
Lancer EVO STI T,114,500,600,650
i20N P,110,500,650,800
BMW M2 T,113,600,700,850
BMW M2 P,112,700,800,900
Alfa Romeo Giulia P,111,700,800,1000
Alfa Romeo Giulia/Stelvio T,119,500,650,800
Yaris GR P,118,800,900,1000
i30N P,120,650,800,900
Supra GR T,121,550,650,750
MX-5 NB BBK T,123,450,550,650
MX-5 NB BBK P,109,450,550,650
RX-8 P,102,550,650,750
MX-5 NC P,117,550,650,750
MX-5 NC/ND T,115,500,600,700
MX-5 NB MID P,124,500,600,700
MX-5 NB MID T,122,450,550,650
CP3905 D54 18mm,302,800,900,1000
CP3558 D54 25mm,301,800,900,1000
AP Racing D50 FRP3076,303,700,800,950
AP Racing R5,304,700,800,950
